Description,Price,Rating,ReviewCount,Url
Wesley Milestone 15.6 inch 25 L Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Unisex Travel Backpack (Black),₹498,4.3 out of 5 stars,"12,103",https://www.amazon.com/Wesley-Milestone-Waterproof-Backpack-Business/dp/B07NJRPJ6Q/ref=sr_1_32?crid=2M096C61O4MLT&keywords=Bags&qid=1675324398&sprefix=ba%2Caps%2C283&sr=8-32
Fur Jaden Anti Theft Backpack 15.6 Inch Laptop Bag with USB Charging Port,₹799,4.0 out of 5 stars,"10,534",https://www.amazon.com/Fur-Jaden-Black-Waterproof-Backpack/dp/B078GLXMDY/ref=sr_1_33?crid=2M096C61O4MLT&keywords=Bags&qid=1675324398&sprefix=ba%2Caps%2C283&sr=8-33
Half Moon Large 37L Laptop Bag Backpack for menं Women Boys and Girls Luggage Travel Bags with 17.3 inches Laptop Compartment & Rain Cover,₹849,3.9 out of 5 stars,"2,124",https://www.amazon.com/Half-Moon-Backpack-Compartment-Reflective/dp/B0BJ32LQ6X/ref=sr_1_34?crid=2M096C61O4MLT&keywords=Bags&qid=1675324398&sprefix=ba%2Caps%2C283&sr=8-34
Half Moon Strike 35L Unisex Spacious School/ Laptop/ College/ Office Travel Backpack Bag for Men Women Boys & Girls with 15.6 inch Padded Laptop Compartment & Multiple Pockets,₹699,3.6 out of 5 stars,43,https://www.amazon.com/Half-Moon-Spacious-Backpack-Compartment/dp/B0BLVQ9NTD/ref=sr_1_35?crid=2M096C61O4MLT&keywords=Bags&qid=1675324398&sprefix=ba%2Caps%2C283&sr=8-35
Lavie Sport Lino Large Size 63 cms Wheel Duffle Bag for Travel | Travel Bag with Trolley,₹999,4.0 out of 5 stars,"5,783",https://www.amazon.com/Lavie-Sport-Duffle-Luggage-Trolley/dp/B097RJ22Q3/ref=sr_1_36?crid=2M096C61O4MLT&keywords=Bags&qid=1675324398&sprefix=ba%2Caps%2C283&sr=8-36
NORTH ZONE 25 ltrs (10 Cms) backpack(INVALID DATA_navy blue),₹664,4.0 out of 5 stars,398,https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo2NzExOTI3MjkxMDAzMzM1OjE2NzUzMjQzOTg6c3BfYnRmOjIwMDc0NzY4NzE0ODk4OjowOjo&url=%2FNORTH-ZONE-backpack-INVALID-DATA_navy%2Fdp%2FB0BCYX6DW2%2Fref%3Dsr_1_37_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3DBags%26qid%3D1675324398%26sprefix%3Dba%252Caps%252C283%26sr%3D8-37-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1
TYPIFY® Polyester College Preppy Style Backpack Korean School Bag,₹999,5.0 out of 5 stars,7,https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo2NzExOTI3MjkxMDAzMzM1OjE2NzUzMjQzOTg6c3BfYnRmOjIwMDk3OTc1MTM3Njk4OjowOjo&url=%2FTYPIFY%25C2%25AE-Polyester-College-Preppy-Backpack%2Fdp%2FB0BNBTNWHS%2Fref%3Dsr_1_38_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3DBags%26qid%3D1675324398%26sprefix%3Dba%252Caps%252C283%26sr%3D8-38-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1
"Tabelito® VOLT Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Unisex Travel Backpack (Compatible with 15.6 inch Laptop) 30 L, GREY-(6 Month Warranty)",₹599,4.9 out of 5 stars,38,https://www.amazon.com/sspa/click?ie=UTF8&spc=MTozMDk0OTEyNjY0ODI1NDg1OjE2NzUzMjQ0MDA6c3BfYXRmX25leHQ6MjAxMTUzODgzNjM5OTg6OjA6Og&url=%2FTabelito%25C2%25AE-VOLT-Waterproof-Backpack-Compatible%2Fdp%2FB0BML7Q3J1%2Fref%3Dsr_1_33_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3DBags%26qid%3D1675324400%26sprefix%3Dba%252Caps%252C283%26sr%3D8-33-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1
"Wenger 17.5"" ScanSmart Laptop Backpack, 30 Litres, Black, Swiss Designed-blend of style & function, 612014","₹5,600",4.0 out of 5 stars,21,https://www.amazon.com/sspa/click?ie=UTF8&spc=MTozMDk0OTEyNjY0ODI1NDg1OjE2NzUzMjQ0MDA6c3BfYXRmX25leHQ6MjAwNzg5MjA3NzkzOTg6OjA6Og&url=%2FScanSmart-Backpack-Designed-blend-function-612014%2Fdp%2FB09V1GJ7D6%2Fref%3Dsr_1_34_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3DBags%26qid%3D1675324400%26sprefix%3Dba%252Caps%252C283%26sr%3D8-34-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1
Wesley Ignite Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Travel Backpack (Dimensions:13x18.5 inches) (Compatible with 39.62cm(15.6inch laptop),₹599,5.0 out of 5 stars,3,https://www.amazon.com/Wesley-Waterproof-Backpack-Business-Dimensions/dp/B0BMQ4D59H/ref=sr_1_35?crid=2M096C61O4MLT&keywords=Bags&qid=1675324400&sprefix=ba%2Caps%2C283&sr=8-35
NIVIA Beast Gym Bag-4 Polyester/Unisex Gym Bags/Shoulder Bag for Men & Women with Separate Shoes Compartment/Carry Gym Accessories/Fitness Bag/Sports & Travel Bag/Sports Kit (Black),₹529,4.2 out of 5 stars,"3,668",https://www.amazon.com/Nivia-5183-Polyester-Duffle-Medium/dp/B071KNXQ7Y/ref=sr_1_36?crid=2M096C61O4MLT&keywords=Bags&qid=1675324400&sprefix=ba%2Caps%2C283&sr=8-36
F Gear Luxur Brown 25 liter Laptop Backpack (2404),"₹1,099",4.4 out of 5 stars,"16,286",https://www.amazon.com/F-Gear-Luxur-Brown-Backpack/dp/B01F7AX9ZA/ref=sr_1_37?crid=2M096C61O4MLT&keywords=Bags&qid=1675324400&sprefix=ba%2Caps%2C283&sr=8-37
"ZANIC'S Large Capacity Cosmetic Travel Bag, Women's Makeup Travel Bag Portable Leather Cosmetics Bag, Makeup Storage Bags with Handle and Divider, Wide Opening Cosmetic/Makeup Organizer Bags (Pink)",₹749,4.6 out of 5 stars,25,https://www.amazon.com/Capacity-Cosmetic-Portable-Cosmetics-Organizer/dp/B0BR123Z9J/ref=sr_1_38?crid=2M096C61O4MLT&keywords=Bags&qid=1675324400&sprefix=ba%2Caps%2C283&sr=8-38
Bennett™ Mystic 15.6 inch (39.6cm) Laptop Briefcase Shoulder Sling Office Business Professional Travel Messenger Bag for Men and Women Water Repellent Formal Executive Bags (Grey) 6 Months Warranty,₹512,4.1 out of 5 stars,"4,858",https://www.amazon.com/BennettTM-Mystic-Shoulder-Messenger-Repellent/dp/B09321GJXZ/ref=sr_1_39?crid=2M096C61O4MLT&keywords=Bags&qid=1675324400&sprefix=ba%2Caps%2C283&sr=8-39
Half Moon Large 37L Laptop Bag Backpack for menं Women Boys and Girls Luggage Travel Bags with 17.3 inches Laptop Compartment & Rain Cover,₹849,3.9 out of 5 stars,"2,124",https://www.amazon.com/Half-Moon-Backpack-Luggage-Compartment/dp/B09VCLZ3K4/ref=sr_1_40?crid=2M096C61O4MLT&keywords=Bags&qid=1675324400&sprefix=ba%2Caps%2C283&sr=8-40
"Bennett Casual Laptop Bag school bags for boys girls 15.6-inch, 25 LTR Office & College bags for mens Water Repellent Backpack for Men & Women (Black)",₹512,4.0 out of 5 stars,347,https://www.amazon.com/Bennett-15-6-inch-College-Repellent-Backpack/dp/B09WZHX3B1/ref=sr_1_41?crid=2M096C61O4MLT&keywords=Bags&qid=1675324400&sprefix=ba%2Caps%2C283&sr=8-41
Asus BP1504 39.62 cm (15.6-inch) Laptop Backpack (Dark Grey),₹766,4.2 out of 5 stars,"1,481",https://www.amazon.com/Asus-BP1504-15-6-inch-Laptop-Backpack/dp/B0895ZZHKK/ref=sr_1_42?crid=2M096C61O4MLT&keywords=Bags&qid=1675324400&sprefix=ba%2Caps%2C283&sr=8-42
COSMUS Agility Convertible Backpack Messenger Bag Shoulder bag Laptop Case Handbag Business Briefcase Multi-functional Travel Bag Fits 15.6 Inch Laptop,"₹1,862",4.2 out of 5 stars,890,https://www.amazon.com/sspa/click?ie=UTF8&spc=MTozMDk0OTEyNjY0ODI1NDg1OjE2NzUzMjQ0MDA6c3BfbXRmOjIwMDIyMzA1MzQ2MzA2OjowOjo&url=%2FCOSMUS-Polyester-Multi-functional-Convertible-15-6-Inch%2Fdp%2FB07D1R1K84%2Fref%3Dsr_1_43_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3DBags%26qid%3D1675324400%26sprefix%3Dba%252Caps%252C283%26sr%3D8-43-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1
NORTH ZONE Lightweight school bags Backpacks for Boys Girls Stylish men and women Casual Travel Laptop Bag College office,₹631,4.0 out of 5 stars,192,https://www.amazon.com/sspa/click?ie=UTF8&spc=MTozMDk0OTEyNjY0ODI1NDg1OjE2NzUzMjQ0MDA6c3BfbXRmOjIwMTA3OTgzNjU0NDk4OjowOjo&url=%2FNORTH-ZONE-backpack-INVALID-DATA_navy%2Fdp%2FB0BL3SPN16%2Fref%3Dsr_1_44_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3DBags%26qid%3D1675324400%26sprefix%3Dba%252Caps%252C283%26sr%3D8-44-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1
F Gear Raider 30 Liter Backpack with Rain Cover (.Marpat Navy Digital Camo),₹822,4.2 out of 5 stars,"2,869",https://www.amazon.com/F-Gear-Raider-Marpat-Navy-Backpack/dp/B07F1157TV/ref=sr_1_45?crid=2M096C61O4MLT&keywords=Bags&qid=1675324400&sprefix=ba%2Caps%2C283&sr=8-45
"Bennett Casual Laptop Bag school bags for boys girls 15.6-inch, 25 LTR Office & College bags for mens Water Repellent Backpack for Men & Women (GREY)",₹512,4.0 out of 5 stars,347,https://www.amazon.com/Bennett-15-6-inch-College-Repellent-Backpack/dp/B09WZKHSDR/ref=sr_1_46?crid=2M096C61O4MLT&keywords=Bags&qid=1675324400&sprefix=ba%2Caps%2C283&sr=8-46
Gear Polyester 74 Cms Duffle Bag(Dufcrstng0406_Grey),₹539,4.1 out of 5 stars,"15,913",https://www.amazon.com/Gear-Polyester-Travel-Duffle-DUFCRSTNG0406/dp/B075MMWRW6/ref=sr_1_47?crid=2M096C61O4MLT&keywords=Bags&qid=1675324400&sprefix=ba%2Caps%2C283&sr=8-47
F Gear String 11 Ltrs Nylon Black Gym Bag,₹189,4.0 out of 5 stars,415,https://www.amazon.com/F-Gear-String-Polyester-33-cms-Black-Drawstring-Gym-Bag/dp/B07PC28YQ9/ref=sr_1_48?crid=2M096C61O4MLT&keywords=Bags&qid=1675324400&sprefix=ba%2Caps%2C283&sr=8-48
HP Lightweight 300 Grey Laptops Backpack with Crafted Cable Pass Through and Padded Shoulder Straps,"₹1,002",4.1 out of 5 stars,66,https://www.amazon.com/HP-Lightweight-300-Grey-Backpack/dp/B08CY44PVD/ref=sr_1_49?crid=2M096C61O4MLT&keywords=Bags&qid=1675324400&sprefix=ba%2Caps%2C283&sr=8-49
Tabelito® Laptop Bag For Men and women Briefcase 15.6 Inch (39.6 cm) Messenger Side Shoulder Travel bags for mens Water Resistant gifts office bag for men,₹549,4.0 out of 5 stars,"2,370",https://www.amazon.com/Tabelito-Office-Laptop-Briefcase-Women/dp/B08FKXCJNQ/ref=sr_1_50?crid=2M096C61O4MLT&keywords=Bags&qid=1675324400&sprefix=ba%2Caps%2C283&sr=8-50
"Chic Buddy Waterproof Wet Bag, Washable, Reusable for Travel, Beach, Pool, Stroller, Diapers, Dirty Gym Clothes, Wet Swimsuits, Toiletries",₹299,4.5 out of 5 stars,256,https://www.amazon.com/Chic-Buddy-Waterproof-Swimsuits-Toiletries/dp/B09KSBHC18/ref=sr_1_51?crid=2M096C61O4MLT&keywords=Bags&qid=1675324400&sprefix=ba%2Caps%2C283&sr=8-51
Lenovo Casual Laptop Backpack B210 39.62 cm (15.6) -inch Water Repellent Grey,"₹1,008",4.2 out of 5 stars,"53,029",https://www.amazon.com/Lenovo-Laptop-Backpack-15-6-Inch-GX40Q17227/dp/B075Y6SRMG/ref=sr_1_52?crid=2M096C61O4MLT&keywords=Bags&qid=1675324400&sprefix=ba%2Caps%2C283&sr=8-52
"FATMUG Laptop Bag For Men - Convertible Backpack For Office And Travel (Dark Grey ,Oxford Fabric)","₹1,499",4.4 out of 5 stars,"1,563",https://www.amazon.com/sspa/click?ie=UTF8&spc=MTozMDk0OTEyNjY0ODI1NDg1OjE2NzUzMjQ0MDA6c3BfYnRmOjIwMDM2NjU1MDM2MjA0OjowOjo&url=%2FFATMUG-Laptop-Bag-Men-Convertible%2Fdp%2FB084LF4RT5%2Fref%3Dsr_1_53_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3DBags%26qid%3D1675324400%26sprefix%3Dba%252Caps%252C283%26sr%3D8-53-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1
"Tabelito® Casual Laptop Bag 15.6-inch(39.6cm), 25 LTR Water Repellent Backpack Office College School Business Travel Bags for Men Women Boys & Girls (Blue)",₹548,4.2 out of 5 stars,"1,498",https://www.amazon.com/sspa/click?ie=UTF8&spc=MTozMDk0OTEyNjY0ODI1NDg1OjE2NzUzMjQ0MDA6c3BfYnRmOjIwMTEyMDc4NDA1OTk4OjowOjo&url=%2FTabelito-Laptop-Backpack-15-6-inch-Repellent%2Fdp%2FB08Y3KCN32%2Fref%3Dsr_1_54_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3DBags%26qid%3D1675324400%26sprefix%3Dba%252Caps%252C283%26sr%3D8-54-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1
The Vertical Unisex 25 Ltrs Laptop Backpack (Up to 14 Inch) With 2 Compartments,₹671.30,3.5 out of 5 stars,18,https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo3OTg5NzM2OTIxNzIyOTU0OjE2NzUzMjQ0MDI6c3BfYXRmX25leHQ6MjAxMDM5NjkyNDU1OTg6OjA6Og&url=%2FVertical-Polyester-Backpack-8903496163575-33X16X47%2Fdp%2FB09FGH5JFP%2Fref%3Dsr_1_49_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3DBags%26qid%3D1675324402%26sprefix%3Dba%252Caps%252C283%26sr%3D8-49-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1
Afco Bags 40Liters Lightweight Fashionable Printed Casual College bags Best Laptop Backpacks Stylish School/College/Office/Travel Backpack For Men & Women,₹549,2.0 out of 5 stars,3,https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo3OTg5NzM2OTIxNzIyOTU0OjE2NzUzMjQ0MDI6c3BfYXRmX25leHQ6MjAwOTI1NDE5NTI0OTg6OjA6Og&url=%2FAfco-Bags-Lightweight-Fashionable-Backpacks%2Fdp%2FB0BLP28FW7%2Fref%3Dsr_1_50_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3DBags%26qid%3D1675324402%26sprefix%3Dba%252Caps%252C283%26sr%3D8-50-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1
"Fur Jaden 15.6 Inch Laptop Backpack 25 LTR Bag for School, College and Office with USB Charging Port",₹489,3.9 out of 5 stars,"9,818",https://www.amazon.com/Casual-Backpack-Charging-Laptop-Compartment/dp/B07J46KLFP/ref=sr_1_51?crid=2M096C61O4MLT&keywords=Bags&qid=1675324402&sprefix=ba%2Caps%2C283&sr=8-51
